,page_number,word,organization
904,10,a,Durham City
905,10,control,Durham City
906,10,device,Durham City
907,10,to,Durham City
908,10,during,Durham City
909,10,the,Durham City
910,10,year,Durham City
911,10,keep,Durham City
912,10,spending,Durham City
913,10,within,Durham City
914,10,authorized,Durham City
915,10,limits,Durham City
916,10,the,Durham City
917,10,annual,Durham City
918,10,budget,Durham City
919,10,budget,Durham City
920,10,document,Durham City
921,10,organization,Durham City
922,10,has,Durham City
923,10,four,Durham City
924,10,basic,Durham City
925,10,functions,Durham City
926,10,first,Durham City
927,10,it,Durham City
928,10,the,Durham City
929,10,letter,Durham City
930,10,of,Durham City
931,10,transmittal,Durham City
932,10,is,Durham City
933,10,an,Durham City
934,10,overview,Durham City
935,10,of,Durham City
936,10,the,Durham City
937,10,expresses,Durham City
938,10,the,Durham City
939,10,policy,Durham City
940,10,budget,Durham City
941,10,it,Durham City
942,10,serves,Durham City
943,10,as,Durham City
944,10,the,Durham City
945,10,city,Durham City
946,10,managers,Durham City
947,10,roadmap,Durham City
948,10,to,Durham City
949,10,of,Durham City
950,10,the,Durham City
951,10,city,Durham City
952,10,council,Durham City
953,10,moving,Durham City
954,10,the,Durham City
955,10,organization,Durham City
956,10,towards,Durham City
957,10,achieving,Durham City
958,10,the,Durham City
959,10,through,Durham City
960,10,the,Durham City
961,10,budget,Durham City
962,10,strategic,Durham City
963,10,plan,Durham City
964,10,goals,Durham City
965,10,adopted,Durham City
966,10,by,Durham City
967,10,the,Durham City
968,10,city,Durham City
969,10,council,Durham City
970,10,it,Durham City
971,10,the,Durham City
972,10,city,Durham City
973,10,council,Durham City
974,10,provides,Durham City
975,10,the,Durham City
976,10,city,Durham City
977,10,council,Durham City
978,10,and,Durham City
979,10,residents,Durham City
980,10,a,Durham City
981,10,narrative,Durham City
982,10,of,Durham City
983,10,exercises,Durham City
984,10,its,Durham City
985,10,authority,Durham City
986,10,significant,Durham City
987,10,trends,Durham City
988,10,and,Durham City
989,10,factors,Durham City
990,10,affecting,Durham City
991,10,the,Durham City
992,10,budget,Durham City
993,10,and,Durham City
994,10,to,Durham City
995,10,allocate,Durham City
996,10,resources,Durham City
997,10,as,Durham City
998,10,a,Durham City
999,10,part,Durham City
1000,10,of,Durham City
1001,10,the,Durham City
1002,10,budget,Durham City
1003,10,highlights,Durham City
1004,10,budget,Durham City
1005,10,priorities,Durham City
1006,10,also,Durham City
1007,10,included,Durham City
1008,10,in,Durham City
1009,10,the,Durham City
1010,10,letter,Durham City
1011,10,review,Durham City
1012,10,process,Durham City
1013,10,the,Durham City
1014,10,city,Durham City
1015,10,council,Durham City
1016,10,determines,Durham City
1017,10,the,Durham City
1018,10,is,Durham City
1019,10,an,Durham City
1020,10,outline,Durham City
1021,10,of,Durham City
1022,10,the,Durham City
1023,10,capital,Durham City
1024,10,improvement,Durham City
1025,10,plan,Durham City
1026,10,for,Durham City
1027,10,the,Durham City
1028,10,tax,Durham City
1029,10,rate,Durham City
1030,10,for,Durham City
1031,10,each,Durham City
1032,10,fiscal,Durham City
1033,10,year,Durham City
1034,10,other,Durham City
1035,10,fees,Durham City
1036,10,such,Durham City
1037,10,as,Durham City
1038,10,following,Durham City
1039,10,fiscal,Durham City
1040,10,year,Durham City
1041,10,in,Durham City
1042,10,addition,Durham City
1043,10,the,Durham City
1044,10,operational,Durham City
1045,10,water,Durham City
1046,10,and,Durham City
1047,10,sewer,Durham City
1048,10,rates,Durham City
1049,10,tipping,Durham City
1050,10,fees,Durham City
1051,10,parking,Durham City
1052,10,rates,Durham City
1053,10,issues,Durham City
1054,10,that,Durham City
1055,10,the,Durham City
1056,10,administration,Durham City
1057,10,has,Durham City
1058,10,faced,Durham City
1059,10,in,Durham City
1060,10,the,Durham City
1061,10,current,Durham City
1062,10,and,Durham City
1063,10,cemeteries,Durham City
1064,10,fees,Durham City
1065,10,may,Durham City
1066,10,be,Durham City
1067,10,reviewed,Durham City
1068,10,and,Durham City
1069,10,fiscal,Durham City
1070,10,year,Durham City
1071,10,are,Durham City
1072,10,addressed,Durham City
1073,10,adjusted,Durham City
1074,10,if,Durham City
1075,10,necessary,Durham City
1076,10,at,Durham City
1077,10,that,Durham City
1078,10,time,Durham City
1079,10,the,Durham City
1080,10,council,Durham City
1081,10,also,Durham City
1082,10,makes,Durham City
1083,10,appropriate,Durham City
1084,10,salary,Durham City
1085,10,adjustments,Durham City
1086,10,another,Durham City
1087,10,indication,Durham City
1088,10,of,Durham City
1089,10,the,Durham City
1090,10,citys,Durham City
1091,10,plan,Durham City
1092,10,for,Durham City
1093,10,service,Durham City
1094,10,is,Durham City
1095,10,expressed,Durham City
1096,10,in,Durham City
1097,10,the,Durham City
1098,10,city,Durham City
1099,10,priorities,Durham City
1100,10,and,Durham City
1101,10,policies,Durham City
1102,10,section,Durham City
1103,10,secondly,Durham City
1104,10,the,Durham City
1105,10,budget,Durham City
1106,10,is,Durham City
1107,10,a,Durham City
1108,10,management,Durham City
1109,10,and,Durham City
1110,10,this,Durham City
1111,10,section,Durham City
1112,10,contains,Durham City
1113,10,the,Durham City
1114,10,performance,Durham City
1115,10,indicators,Durham City
1116,10,that,Durham City
1117,10,planning,Durham City
1118,10,tool,Durham City
1119,10,the,Durham City
1120,10,budget,Durham City
1121,10,and,Durham City
1122,10,subsequent,Durham City
1123,10,measure,Durham City
1124,10,the,Durham City
1125,10,citys,Durham City
1126,10,success,Durham City
1127,10,in,Durham City
1128,10,achieving,Durham City
1129,10,the,Durham City
1130,10,accounting,Durham City
1131,10,reports,Durham City
1132,10,allow,Durham City
1133,10,managers,Durham City
1134,10,to,Durham City
1135,10,isolate,Durham City
1136,10,communitys,Durham City
1137,10,goals,Durham City
1138,10,as,Durham City
1139,10,well,Durham City
1140,10,as,Durham City
1141,10,strategies,Durham City
1142,10,that,Durham City
1143,10,potential,Durham City
1144,10,problems,Durham City
1145,10,and,Durham City
1146,10,ensure,Durham City
1147,10,that,Durham City
1148,10,city,Durham City
1149,10,resources,Durham City
1150,10,departments,Durham City
1151,10,will,Durham City
1152,10,employ,Durham City
1153,10,for,Durham City
1154,10,the,Durham City
1155,10,upcoming,Durham City
