,page_number,word,organization
540,6,mayor,Raleigh City
541,6,nancy,Raleigh City
542,6,mcfarlane,Raleigh City
543,6,mayor,Raleigh City
544,6,pro,Raleigh City
545,6,tem,Raleigh City
546,6,corey,Raleigh City
547,6,d,Raleigh City
548,6,branch,Raleigh City
549,6,council,Raleigh City
550,6,member,Raleigh City
551,6,david,Raleigh City
552,6,n,Raleigh City
553,6,cox,Raleigh City
554,6,council,Raleigh City
555,6,member,Raleigh City
556,6,kay,Raleigh City
557,6,crowder,Raleigh City
558,6,council,Raleigh City
559,6,member,Raleigh City
560,6,stef,Raleigh City
561,6,mendell,Raleigh City
562,6,council,Raleigh City
563,6,member,Raleigh City
564,6,russ,Raleigh City
565,6,stephenson,Raleigh City
566,6,council,Raleigh City
567,6,member,Raleigh City
568,6,nicole,Raleigh City
569,6,stewart,Raleigh City
570,6,council,Raleigh City
571,6,member,Raleigh City
572,6,richard,Raleigh City
573,6,a,Raleigh City
574,6,dickie,Raleigh City
575,6,thompson,Raleigh City
576,6,dear,Raleigh City
577,6,mayor,Raleigh City
578,6,and,Raleigh City
579,6,council,Raleigh City
580,6,members,Raleigh City
581,6,presented,Raleigh City
582,6,in,Raleigh City
583,6,this,Raleigh City
584,6,document,Raleigh City
585,6,is,Raleigh City
586,6,the,Raleigh City
587,6,adopted,Raleigh City
588,6,fiscal,Raleigh City
589,6,year,Raleigh City
590,6,budget,Raleigh City
591,6,for,Raleigh City
592,6,the,Raleigh City
593,6,city,Raleigh City
594,6,of,Raleigh City
595,6,raleigh,Raleigh City
596,6,as,Raleigh City
597,6,approved,Raleigh City
598,6,by,Raleigh City
599,6,city,Raleigh City
600,6,council,Raleigh City
601,6,on,Raleigh City
602,6,june,Raleigh City
603,6,net,Raleigh City
604,6,of,Raleigh City
605,6,interfund,Raleigh City
606,6,transfers,Raleigh City
607,6,the,Raleigh City
608,6,combined,Raleigh City
609,6,capital,Raleigh City
610,6,and,Raleigh City
611,6,operating,Raleigh City
612,6,budgets,Raleigh City
613,6,for,Raleigh City
614,6,the,Raleigh City
615,6,fiscal,Raleigh City
616,6,year,Raleigh City
617,6,beginning,Raleigh City
618,6,july,Raleigh City
619,6,totals,Raleigh City
620,6,the,Raleigh City
621,6,budget,Raleigh City
